Gross Annual Income,Weekly Savings under new Scheme at 19.50%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
2k,7/w,38/w,30/w
120k,525/w,1932/w,1407/w
121k,528/w,1948/w,1419/w
122k,532/w,1963/w,1431/w
123k,536/w,1979/w,1442/w
124k,540/w,1994/w,1454/w
125k,543/w,2010/w,1466/w
126k,547/w,2025/w,1478/w
127k,551/w,2041/w,1489/w
128k,555/w,2056/w,1501/w
129k,558/w,2072/w,1513/w
130k,562/w,2087/w,1525/w
131k,566/w,2102/w,1536/w
132k,570/w,2118/w,1548/w
133k,573/w,2133/w,1560/w
134k,577/w,2149/w,1571/w
135k,581/w,2164/w,1583/w
136k,584/w,2180/w,1595/w
137k,588/w,2195/w,1607/w
138k,592/w,2211/w,1618/w
139k,596/w,2226/w,1630/w
140k,599/w,2242/w,1642/w
141k,603/w,2257/w,1654/w
142k,607/w,2273/w,1665/w
143k,611/w,2288/w,1677/w
144k,614/w,2304/w,1689/w
145k,618/w,2319/w,1700/w
146k,622/w,2335/w,1712/w
147k,626/w,2350/w,1724/w
148k,629/w,2366/w,1736/w
149k,633/w,2381/w,1747/w
150k,637/w,2397/w,1759/w
151k,641/w,2412/w,1771/w
152k,644/w,2428/w,1783/w
153k,648/w,2443/w,1794/w
154k,652/w,2459/w,1806/w
155k,656/w,2474/w,1818/w
156k,659/w,2489/w,1830/w
157k,663/w,2505/w,1841/w
158k,667/w,2520/w,1853/w
159k,671/w,2536/w,1865/w
160k,675/w,2551/w,1876/w
161k,678/w,2567/w,1888/w
162k,682/w,2582/w,1900/w
163k,686/w,2598/w,1912/w
164k,690/w,2613/w,1923/w
165k,693/w,2629/w,1935/w
166k,697/w,2644/w,1947/w
167k,701/w,2660/w,1959/w
168k,705/w,2675/w,1970/w
169k,708/w,2691/w,1982/w
170k,712/w,2706/w,1994/w
171k,716/w,2722/w,2005/w
172k,720/w,2737/w,2017/w
173k,723/w,2753/w,2029/w
174k,727/w,2768/w,2041/w
175k,731/w,2784/w,2052/w
176k,735/w,2799/w,2064/w
177k,738/w,2815/w,2076/w
178k,742/w,2830/w,2088/w
179k,746/w,2846/w,2099/w
180k,750/w,2861/w,2111/w
181k,753/w,2877/w,2123/w
182k,757/w,2892/w,2135/w
183k,761/w,2907/w,2146/w
184k,765/w,2923/w,2158/w
185k,768/w,2938/w,2170/w
186k,772/w,2954/w,2181/w
187k,776/w,2969/w,2193/w
188k,780/w,2985/w,2205/w
189k,783/w,3000/w,2217/w
190k,787/w,3016/w,2228/w
191k,791/w,3031/w,2240/w
192k,795/w,3047/w,2252/w
193k,798/w,3062/w,2264/w
194k,802/w,3078/w,2275/w
195k,806/w,3093/w,2287/w
196k,810/w,3109/w,2299/w
197k,813/w,3124/w,2310/w
198k,817/w,3140/w,2322/w
199k,821/w,3155/w,2334/w
200k,825/w,3171/w,2346/w
201k,828/w,3186/w,2357/w
202k,832/w,3202/w,2369/w
203k,836/w,3217/w,2381/w
204k,840/w,3233/w,2393/w
205k,843/w,3248/w,2404/w
206k,847/w,3264/w,2416/w
207k,851/w,3279/w,2428/w
208k,855/w,3295/w,2440/w
209k,858/w,3310/w,2451/w
210k,862/w,3325/w,2463/w
211k,866/w,3341/w,2475/w
212k,870/w,3356/w,2486/w
213k,873/w,3372/w,2498/w
214k,877/w,3387/w,2510/w
215k,881/w,3403/w,2522/w
216k,885/w,3418/w,2533/w
217k,888/w,3434/w,2545/w
218k,892/w,3449/w,2557/w
219k,896/w,3465/w,2569/w
220k,900/w,3480/w,2580/w
221k,903/w,3496/w,2592/w
222k,907/w,3511/w,2604/w
223k,911/w,3527/w,2615/w
224k,915/w,3542/w,2627/w
225k,918/w,3558/w,2639/w
226k,922/w,3573/w,2651/w
227k,926/w,3589/w,2662/w
228k,930/w,3604/w,2674/w
229k,933/w,3620/w,2686/w
230k,937/w,3635/w,2698/w
231k,941/w,3651/w,2709/w
232k,945/w,3666/w,2721/w
233k,948/w,3682/w,2733/w
234k,952/w,3697/w,2745/w
235k,956/w,3712/w,2756/w
236k,960/w,3728/w,2768/w
237k,963/w,3743/w,2780/w
238k,967/w,3759/w,2791/w
239k,971/w,3774/w,2803/w
240k,975/w,3790/w,2815/w
241k,978/w,3805/w,2827/w
242k,982/w,3821/w,2838/w
243k,986/w,3836/w,2850/w
244k,990/w,3852/w,2862/w
245k,993/w,3867/w,2874/w
246k,997/w,3883/w,2885/w
247k,1001/w,3898/w,2897/w
248k,1005/w,3914/w,2909/w
249k,1008/w,3929/w,2920/w
250k,1012/w,3945/w,2932/w
251k,1016/w,3960/w,2944/w
252k,1020/w,3976/w,2956/w
253k,1023/w,3991/w,2967/w
254k,1027/w,4007/w,2979/w
255k,1031/w,4022/w,2991/w
256k,1034/w,4038/w,3003/w
257k,1038/w,4053/w,3014/w
258k,1042/w,4069/w,3026/w
259k,1046/w,4084/w,3038/w
260k,1049/w,4099/w,3050/w
261k,1053/w,4115/w,3061/w
262k,1057/w,4130/w,3073/w
263k,1061/w,4146/w,3085/w
264k,1064/w,4161/w,3096/w
265k,1068/w,4177/w,3108/w
266k,1072/w,4192/w,3120/w
267k,1076/w,4208/w,3132/w
268k,1079/w,4223/w,3143/w
269k,1083/w,4239/w,3155/w
270k,1087/w,4254/w,3167/w
271k,1091/w,4270/w,3179/w
272k,1094/w,4285/w,3190/w
273k,1098/w,4301/w,3202/w
274k,1102/w,4316/w,3214/w
275k,1106/w,4332/w,3225/w
276k,1109/w,4347/w,3237/w
277k,1113/w,4363/w,3249/w
278k,1117/w,4378/w,3261/w
279k,1121/w,4394/w,3272/w
280k,1124/w,4409/w,3284/w
281k,1128/w,4425/w,3296/w
282k,1132/w,4440/w,3308/w
283k,1136/w,4456/w,3319/w
284k,1139/w,4471/w,3331/w
285k,1143/w,4487/w,3343/w
286k,1147/w,4502/w,3355/w
287k,1151/w,4517/w,3366/w
288k,1154/w,4533/w,3378/w
289k,1158/w,4548/w,3390/w
290k,1162/w,4564/w,3401/w
291k,1166/w,4579/w,3413/w
292k,1170/w,4595/w,3425/w
293k,1173/w,4610/w,3437/w
294k,1177/w,4626/w,3448/w
295k,1181/w,4641/w,3460/w
296k,1184/w,4657/w,3472/w
297k,1188/w,4672/w,3484/w
298k,1192/w,4688/w,3495/w
299k,1196/w,4703/w,3507/w
300k,1199/w,4719/w,3519/w
301k,1203/w,4734/w,3530/w
302k,1207/w,4750/w,3542/w
303k,1211/w,4765/w,3554/w
304k,1214/w,4781/w,3566/w
305k,1218/w,4796/w,3577/w
306k,1222/w,4812/w,3589/w
307k,1226/w,4827/w,3601/w
308k,1230/w,4843/w,3613/w
309k,1233/w,4858/w,3624/w
310k,1237/w,4874/w,3636/w
311k,1241/w,4889/w,3648/w
312k,1244/w,4904/w,3660/w
313k,1248/w,4920/w,3671/w
314k,1252/w,4935/w,3683/w
315k,1256/w,4951/w,3695/w
316k,1259/w,4966/w,3706/w
317k,1263/w,4982/w,3718/w
318k,1267/w,4997/w,3730/w
319k,1271/w,5013/w,3742/w
320k,1274/w,5028/w,3753/w
321k,1278/w,5044/w,3765/w
322k,1282/w,5059/w,3777/w
323k,1286/w,5075/w,3789/w
324k,1289/w,5090/w,3800/w
325k,1293/w,5106/w,3812/w
326k,1297/w,5121/w,3824/w
327k,1301/w,5137/w,3835/w
328k,1305/w,5152/w,3847/w
329k,1308/w,5168/w,3859/w
330k,1312/w,5183/w,3871/w
331k,1316/w,5199/w,3882/w
332k,1320/w,5214/w,3894/w
333k,1323/w,5230/w,3906/w
334k,1327/w,5245/w,3918/w
335k,1331/w,5261/w,3929/w
336k,1335/w,5276/w,3941/w
337k,1338/w,5292/w,3953/w
338k,1342/w,5307/w,3965/w
339k,1346/w,5322/w,3976/w
340k,1349/w,5338/w,3988/w
341k,1353/w,5353/w,4000/w
342k,1357/w,5369/w,4011/w
343k,1361/w,5384/w,4023/w
344k,1365/w,5400/w,4035/w
345k,1368/w,5415/w,4047/w
346k,1372/w,5431/w,4058/w
347k,1376/w,5446/w,4070/w
348k,1380/w,5462/w,4082/w
349k,1383/w,5477/w,4094/w
350k,1387/w,5493/w,4105/w
351k,1391/w,5508/w,4117/w
352k,1395/w,5524/w,4129/w
353k,1398/w,5539/w,4140/w
354k,1402/w,5555/w,4152/w
355k,1406/w,5570/w,4164/w
356k,1410/w,5586/w,4176/w
357k,1413/w,5601/w,4187/w
358k,1417/w,5617/w,4199/w
359k,1421/w,5632/w,4211/w
360k,1425/w,5648/w,4223/w
361k,1428/w,5663/w,4234/w
362k,1432/w,5679/w,4246/w
363k,1436/w,5694/w,4258/w
364k,1440/w,5710/w,4270/w
365k,1443/w,5725/w,4281/w
366k,1447/w,5740/w,4293/w
367k,1451/w,5756/w,4305/w
368k,1455/w,5771/w,4316/w
369k,1458/w,5787/w,4328/w
370k,1462/w,5802/w,4340/w
371k,1466/w,5818/w,4352/w
372k,1470/w,5833/w,4363/w
373k,1473/w,5849/w,4375/w
374k,1477/w,5864/w,4387/w
375k,1481/w,5880/w,4399/w
376k,1485/w,5895/w,4410/w
377k,1488/w,5911/w,4422/w
378k,1492/w,5926/w,4434/w
379k,1496/w,5942/w,4445/w
380k,1500/w,5957/w,4457/w
381k,1503/w,5973/w,4469/w
382k,1507/w,5988/w,4481/w
383k,1511/w,6004/w,4492/w
384k,1515/w,6019/w,4504/w
385k,1518/w,6035/w,4516/w
386k,1522/w,6050/w,4528/w
387k,1526/w,6066/w,4539/w
388k,1530/w,6081/w,4551/w
389k,1533/w,6097/w,4563/w
390k,1537/w,6112/w,4575/w
391k,1541/w,6127/w,4586/w
392k,1545/w,6143/w,4598/w
393k,1548/w,6158/w,4610/w
394k,1552/w,6174/w,4621/w
395k,1556/w,6189/w,4633/w
396k,1560/w,6205/w,4645/w
397k,1563/w,6220/w,4657/w
398k,1567/w,6236/w,4668/w
399k,1571/w,6251/w,4680/w
400k,1575/w,6267/w,4692/w
401k,1578/w,6282/w,4704/w
402k,1582/w,6298/w,4715/w
403k,1586/w,6313/w,4727/w
404k,1590/w,6329/w,4739/w
405k,1593/w,6344/w,4750/w
406k,1597/w,6360/w,4762/w
407k,1601/w,6375/w,4774/w
408k,1605/w,6391/w,4786/w
409k,1608/w,6406/w,4797/w
410k,1612/w,6422/w,4809/w
411k,1616/w,6437/w,4821/w
412k,1620/w,6453/w,4833/w
413k,1623/w,6468/w,4844/w
414k,1627/w,6484/w,4856/w
415k,1631/w,6499/w,4868/w
416k,1635/w,6515/w,4880/w
417k,1638/w,6530/w,4891/w
418k,1642/w,6545/w,4903/w
419k,1646/w,6561/w,4915/w
420k,1650/w,6576/w,4926/w
421k,1653/w,6592/w,4938/w
422k,1657/w,6607/w,4950/w
423k,1661/w,6623/w,4962/w
424k,1665/w,6638/w,4973/w
425k,1668/w,6654/w,4985/w
426k,1672/w,6669/w,4997/w
427k,1676/w,6685/w,5009/w
428k,1680/w,6700/w,5020/w
429k,1683/w,6716/w,5032/w
430k,1687/w,6731/w,5044/w
431k,1691/w,6747/w,5055/w
432k,1695/w,6762/w,5067/w
433k,1698/w,6778/w,5079/w
434k,1702/w,6793/w,5091/w
435k,1706/w,6809/w,5102/w
436k,1710/w,6824/w,5114/w
437k,1713/w,6840/w,5126/w
438k,1717/w,6855/w,5138/w
439k,1721/w,6871/w,5149/w
440k,1725/w,6886/w,5161/w
441k,1728/w,6902/w,5173/w
442k,1732/w,6917/w,5185/w
443k,1736/w,6932/w,5196/w
444k,1740/w,6948/w,5208/w
445k,1743/w,6963/w,5220/w
446k,1747/w,6979/w,5231/w
447k,1751/w,6994/w,5243/w
448k,1755/w,7010/w,5255/w
449k,1758/w,7025/w,5267/w
450k,1762/w,7041/w,5278/w
451k,1766/w,7056/w,5290/w
452k,1770/w,7072/w,5302/w
453k,1773/w,7087/w,5314/w
454k,1777/w,7103/w,5325/w
455k,1781/w,7118/w,5337/w
456k,1785/w,7134/w,5349/w
457k,1788/w,7149/w,5360/w
458k,1792/w,7165/w,5372/w
459k,1796/w,7180/w,5384/w
460k,1800/w,7196/w,5396/w
461k,1803/w,7211/w,5407/w
462k,1807/w,7227/w,5419/w
463k,1811/w,7242/w,5431/w
464k,1815/w,7258/w,5443/w
465k,1818/w,7273/w,5454/w
466k,1822/w,7289/w,5466/w
467k,1826/w,7304/w,5478/w
468k,1830/w,7320/w,5490/w
469k,1833/w,7335/w,5501/w
470k,1837/w,7350/w,5513/w
471k,1841/w,7366/w,5525/w
472k,1845/w,7381/w,5536/w
473k,1848/w,7397/w,5548/w
474k,1852/w,7412/w,5560/w
475k,1856/w,7428/w,5572/w
476k,1860/w,7443/w,5583/w
477k,1863/w,7459/w,5595/w
478k,1867/w,7474/w,5607/w
479k,1871/w,7490/w,5619/w
480k,1875/w,7505/w,5630/w
481k,1878/w,7521/w,5642/w
482k,1882/w,7536/w,5654/w
483k,1886/w,7552/w,5665/w
484k,1890/w,7567/w,5677/w
485k,1893/w,7583/w,5689/w
486k,1897/w,7598/w,5701/w
487k,1901/w,7614/w,5712/w
488k,1905/w,7629/w,5724/w
489k,1908/w,7645/w,5736/w
490k,1912/w,7660/w,5748/w
491k,1916/w,7676/w,5759/w
492k,1919/w,7691/w,5771/w
493k,1923/w,7707/w,5783/w
494k,1927/w,7722/w,5795/w
495k,1931/w,7737/w,5806/w
496k,1934/w,7753/w,5818/w
497k,1938/w,7768/w,5830/w
498k,1942/w,7784/w,5841/w
499k,1946/w,7799/w,5853/w
500k,1949/w,7815/w,5865/w
501k,1953/w,7830/w,5877/w
502k,1957/w,7846/w,5888/w
503k,1961/w,7861/w,5900/w
504k,1964/w,7877/w,5912/w
505k,1968/w,7892/w,5924/w
506k,1972/w,7908/w,5935/w
507k,1976/w,7923/w,5947/w
508k,1979/w,7939/w,5959/w
509k,1983/w,7954/w,5970/w
510k,1987/w,7970/w,5982/w
511k,1991/w,7985/w,5994/w
512k,1994/w,8001/w,6006/w
513k,1998/w,8016/w,6017/w
514k,2002/w,8032/w,6029/w
515k,2006/w,8047/w,6041/w
516k,2009/w,8063/w,6053/w
517k,2013/w,8078/w,6064/w
518k,2017/w,8094/w,6076/w
519k,2021/w,8109/w,6088/w
520k,2024/w,8124/w,6100/w
521k,2028/w,8140/w,6111/w
522k,2032/w,8155/w,6123/w
523k,2036/w,8171/w,6135/w
524k,2039/w,8186/w,6146/w
525k,2043/w,8202/w,6158/w
526k,2047/w,8217/w,6170/w
527k,2051/w,8233/w,6182/w
528k,2054/w,8248/w,6193/w
529k,2058/w,8264/w,6205/w
530k,2062/w,8279/w,6217/w
531k,2066/w,8295/w,6229/w
532k,2070/w,8310/w,6240/w
533k,2073/w,8326/w,6252/w
534k,2077/w,8341/w,6264/w
535k,2081/w,8357/w,6275/w
536k,2084/w,8372/w,6287/w
537k,2088/w,8388/w,6299/w
538k,2092/w,8403/w,6311/w
539k,2096/w,8419/w,6322/w
540k,2099/w,8434/w,6334/w
541k,2103/w,8450/w,6346/w
542k,2107/w,8465/w,6358/w
543k,2111/w,8481/w,6369/w
544k,2114/w,8496/w,6381/w
545k,2118/w,8512/w,6393/w
546k,2122/w,8527/w,6405/w
547k,2126/w,8542/w,6416/w
548k,2129/w,8558/w,6428/w
549k,2133/w,8573/w,6440/w
550k,2137/w,8589/w,6451/w
551k,2141/w,8604/w,6463/w
552k,2144/w,8620/w,6475/w
553k,2148/w,8635/w,6487/w
554k,2152/w,8651/w,6498/w
555k,2156/w,8666/w,6510/w
556k,2159/w,8682/w,6522/w
557k,2163/w,8697/w,6534/w
558k,2167/w,8713/w,6545/w
559k,2171/w,8728/w,6557/w
560k,2174/w,8744/w,6569/w
561k,2178/w,8759/w,6580/w
562k,2182/w,8775/w,6592/w
563k,2186/w,8790/w,6604/w
564k,2190/w,8806/w,6616/w
565k,2193/w,8821/w,6627/w
566k,2197/w,8837/w,6639/w
567k,2201/w,8852/w,6651/w
568k,2204/w,8868/w,6663/w
569k,2208/w,8883/w,6674/w
570k,2212/w,8899/w,6686/w
571k,2216/w,8914/w,6698/w
572k,2219/w,8929/w,6710/w
573k,2223/w,8945/w,6721/w
574k,2227/w,8960/w,6733/w
575k,2231/w,8976/w,6745/w
576k,2234/w,8991/w,6756/w
577k,2238/w,9007/w,6768/w
578k,2242/w,9022/w,6780/w
579k,2246/w,9038/w,6792/w
580k,2249/w,9053/w,6803/w
581k,2253/w,9069/w,6815/w
582k,2257/w,9084/w,6827/w
583k,2261/w,9100/w,6839/w
584k,2265/w,9115/w,6850/w
585k,2268/w,9131/w,6862/w
586k,2272/w,9146/w,6874/w
587k,2276/w,9162/w,6885/w
588k,2279/w,9177/w,6897/w
589k,2283/w,9193/w,6909/w
590k,2287/w,9208/w,6921/w
591k,2291/w,9224/w,6932/w
592k,2294/w,9239/w,6944/w
593k,2298/w,9255/w,6956/w
594k,2302/w,9270/w,6968/w
595k,2306/w,9286/w,6979/w
596k,2309/w,9301/w,6991/w
597k,2313/w,9317/w,7003/w
598k,2317/w,9332/w,7015/w
599k,2321/w,9347/w,7026/w
600k,2324/w,9363/w,7038/w
601k,2328/w,9378/w,7050/w
602k,2332/w,9394/w,7061/w
603k,2336/w,9409/w,7073/w
604k,2339/w,9425/w,7085/w
605k,2343/w,9440/w,7097/w
606k,2347/w,9456/w,7108/w
607k,2351/w,9471/w,7120/w
608k,2354/w,9487/w,7132/w
609k,2358/w,9502/w,7144/w
610k,2362/w,9518/w,7155/w
611k,2366/w,9533/w,7167/w
612k,2369/w,9549/w,7179/w
613k,2373/w,9564/w,7190/w
614k,2377/w,9580/w,7202/w
615k,2381/w,9595/w,7214/w
616k,2385/w,9611/w,7226/w
617k,2388/w,9626/w,7237/w
618k,2392/w,9642/w,7249/w
619k,2396/w,9657/w,7261/w
620k,2399/w,9673/w,7273/w
621k,2403/w,9688/w,7284/w
622k,2407/w,9704/w,7296/w
623k,2411/w,9719/w,7308/w
624k,2414/w,9734/w,7320/w
625k,2418/w,9750/w,7331/w
626k,2422/w,9765/w,7343/w
627k,2426/w,9781/w,7355/w
628k,2429/w,9796/w,7366/w
629k,2433/w,9812/w,7378/w
630k,2437/w,9827/w,7390/w
631k,2441/w,9843/w,7402/w
632k,2444/w,9858/w,7413/w
633k,2448/w,9874/w,7425/w
634k,2452/w,9889/w,7437/w
635k,2456/w,9905/w,7449/w
636k,2460/w,9920/w,7460/w
637k,2463/w,9936/w,7472/w
638k,2467/w,9951/w,7484/w
639k,2471/w,9967/w,7495/w
640k,2474/w,9982/w,7507/w
641k,2478/w,9998/w,7519/w
642k,2482/w,10013/w,7531/w
643k,2486/w,10029/w,7542/w
644k,2489/w,10044/w,7554/w
645k,2493/w,10060/w,7566/w
646k,2497/w,10075/w,7578/w
647k,2501/w,10091/w,7589/w
648k,2504/w,10106/w,7601/w
649k,2508/w,10122/w,7613/w
650k,2512/w,10137/w,7625/w
651k,2516/w,10152/w,7636/w
652k,2520/w,10168/w,7648/w
653k,2523/w,10183/w,7660/w
654k,2527/w,10199/w,7671/w
655k,2531/w,10214/w,7683/w
656k,2535/w,10230/w,7695/w
657k,2538/w,10245/w,7707/w
658k,2542/w,10261/w,7718/w
659k,2546/w,10276/w,7730/w
660k,2549/w,10292/w,7742/w
661k,2553/w,10307/w,7754/w
662k,2557/w,10323/w,7765/w
663k,2561/w,10338/w,7777/w
664k,2565/w,10354/w,7789/w
665k,2568/w,10369/w,7800/w
666k,2572/w,10385/w,7812/w
667k,2576/w,10400/w,7824/w
668k,2580/w,10416/w,7836/w
669k,2583/w,10431/w,7847/w
670k,2587/w,10447/w,7859/w
671k,2591/w,10462/w,7871/w
672k,2595/w,10478/w,7883/w
673k,2598/w,10493/w,7894/w
674k,2602/w,10509/w,7906/w
675k,2606/w,10524/w,7918/w
676k,2610/w,10540/w,7930/w
677k,2613/w,10555/w,7941/w
678k,2617/w,10570/w,7953/w
679k,2621/w,10586/w,7965/w
680k,2624/w,10601/w,7976/w
681k,2628/w,10617/w,7988/w
682k,2632/w,10632/w,8000/w
683k,2636/w,10648/w,8012/w
684k,2640/w,10663/w,8023/w
685k,2643/w,10679/w,8035/w
686k,2647/w,10694/w,8047/w
687k,2651/w,10710/w,8059/w
688k,2655/w,10725/w,8070/w
689k,2658/w,10741/w,8082/w
690k,2662/w,10756/w,8094/w
691k,2666/w,10772/w,8105/w
692k,2670/w,10787/w,8117/w
693k,2673/w,10803/w,8129/w
694k,2677/w,10818/w,8141/w
695k,2681/w,10834/w,8152/w
696k,2685/w,10849/w,8164/w
697k,2688/w,10865/w,8176/w
698k,2692/w,10880/w,8188/w
699k,2696/w,10896/w,8199/w
700k,2700/w,10911/w,8211/w
701k,2703/w,10927/w,8223/w
702k,2707/w,10942/w,8235/w
703k,2711/w,10957/w,8246/w
704k,2715/w,10973/w,8258/w
705k,2718/w,10988/w,8270/w
706k,2722/w,11004/w,8281/w
707k,2726/w,11019/w,8293/w
708k,2730/w,11035/w,8305/w
709k,2733/w,11050/w,8317/w
710k,2737/w,11066/w,8328/w
711k,2741/w,11081/w,8340/w
712k,2745/w,11097/w,8352/w
713k,2748/w,11112/w,8364/w
714k,2752/w,11128/w,8375/w
715k,2756/w,11143/w,8387/w
716k,2760/w,11159/w,8399/w
717k,2763/w,11174/w,8410/w
718k,2767/w,11190/w,8422/w
719k,2771/w,11205/w,8434/w
720k,2775/w,11221/w,8446/w
721k,2778/w,11236/w,8457/w
722k,2782/w,11252/w,8469/w
723k,2786/w,11267/w,8481/w
724k,2790/w,11283/w,8493/w
725k,2793/w,11298/w,8504/w
726k,2797/w,11314/w,8516/w
727k,2801/w,11329/w,8528/w
728k,2805/w,11345/w,8540/w
729k,2808/w,11360/w,8551/w
730k,2812/w,11375/w,8563/w
731k,2816/w,11391/w,8575/w
732k,2820/w,11406/w,8586/w
733k,2823/w,11422/w,8598/w
734k,2827/w,11437/w,8610/w
735k,2831/w,11453/w,8622/w
736k,2835/w,11468/w,8633/w
737k,2838/w,11484/w,8645/w
738k,2842/w,11499/w,8657/w
739k,2846/w,11515/w,8669/w
740k,2850/w,11530/w,8680/w
741k,2853/w,11546/w,8692/w
742k,2857/w,11561/w,8704/w
743k,2861/w,11577/w,8715/w
744k,2865/w,11592/w,8727/w
745k,2868/w,11608/w,8739/w
746k,2872/w,11623/w,8751/w
747k,2876/w,11639/w,8762/w
748k,2880/w,11654/w,8774/w
749k,2883/w,11670/w,8786/w
750k,2887/w,11685/w,8798/w
751k,2891/w,11701/w,8809/w
752k,2895/w,11716/w,8821/w
753k,2898/w,11732/w,8833/w
754k,2902/w,11747/w,8845/w
755k,2906/w,11762/w,8856/w
756k,2910/w,11778/w,8868/w
757k,2913/w,11793/w,8880/w
758k,2917/w,11809/w,8891/w
759k,2921/w,11824/w,8903/w
760k,2925/w,11840/w,8915/w
761k,2928/w,11855/w,8927/w
762k,2932/w,11871/w,8938/w
763k,2936/w,11886/w,8950/w
764k,2940/w,11902/w,8962/w
765k,2943/w,11917/w,8974/w
766k,2947/w,11933/w,8985/w
767k,2951/w,11948/w,8997/w
768k,2955/w,11964/w,9009/w
769k,2958/w,11979/w,9020/w
770k,2962/w,11995/w,9032/w
771k,2966/w,12010/w,9044/w
772k,2970/w,12026/w,9056/w
773k,2973/w,12041/w,9067/w
774k,2977/w,12057/w,9079/w
775k,2981/w,12072/w,9091/w
776k,2985/w,12088/w,9103/w
777k,2988/w,12103/w,9114/w
778k,2992/w,12119/w,9126/w
779k,2996/w,12134/w,9138/w
780k,3000/w,12150/w,9150/w
781k,3003/w,12165/w,9161/w
782k,3007/w,12180/w,9173/w
783k,3011/w,12196/w,9185/w
784k,3015/w,12211/w,9196/w
785k,3018/w,12227/w,9208/w
786k,3022/w,12242/w,9220/w
787k,3026/w,12258/w,9232/w
788k,3030/w,12273/w,9243/w
789k,3033/w,12289/w,9255/w
790k,3037/w,12304/w,9267/w
791k,3041/w,12320/w,9279/w
792k,3045/w,12335/w,9290/w
