Gross Annual Income,Weekly Savings under new Scheme at 33.00%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
462k,659/w,6079/w,5419/w
463k,661/w,6092/w,5431/w
464k,662/w,6105/w,5443/w
465k,663/w,6118/w,5454/w
466k,664/w,6131/w,5466/w
467k,665/w,6144/w,5478/w
468k,666/w,6156/w,5490/w
469k,668/w,6169/w,5501/w
470k,669/w,6182/w,5513/w
471k,670/w,6195/w,5525/w
472k,671/w,6208/w,5536/w
473k,672/w,6221/w,5548/w
474k,673/w,6234/w,5560/w
475k,674/w,6247/w,5572/w
476k,676/w,6259/w,5583/w
477k,677/w,6272/w,5595/w
478k,678/w,6285/w,5607/w
479k,679/w,6298/w,5619/w
480k,680/w,6311/w,5630/w
481k,681/w,6324/w,5642/w
482k,683/w,6337/w,5654/w
483k,684/w,6350/w,5665/w
484k,685/w,6363/w,5677/w
485k,686/w,6375/w,5689/w
486k,687/w,6388/w,5701/w
487k,688/w,6401/w,5712/w
488k,689/w,6414/w,5724/w
489k,691/w,6427/w,5736/w
490k,692/w,6440/w,5748/w
491k,693/w,6453/w,5759/w
492k,694/w,6466/w,5771/w
493k,695/w,6479/w,5783/w
494k,696/w,6491/w,5795/w
495k,698/w,6504/w,5806/w
496k,699/w,6517/w,5818/w
497k,700/w,6530/w,5830/w
498k,701/w,6543/w,5841/w
499k,702/w,6556/w,5853/w
500k,703/w,6569/w,5865/w
501k,704/w,6582/w,5877/w
502k,706/w,6594/w,5888/w
503k,707/w,6607/w,5900/w
504k,708/w,6620/w,5912/w
505k,709/w,6633/w,5924/w
506k,710/w,6646/w,5935/w
507k,711/w,6659/w,5947/w
508k,713/w,6672/w,5959/w
509k,714/w,6685/w,5970/w
510k,715/w,6698/w,5982/w
511k,716/w,6710/w,5994/w
512k,717/w,6723/w,6006/w
513k,718/w,6736/w,6017/w
514k,719/w,6749/w,6029/w
515k,721/w,6762/w,6041/w
516k,722/w,6775/w,6053/w
517k,723/w,6788/w,6064/w
518k,724/w,6801/w,6076/w
519k,725/w,6814/w,6088/w
520k,726/w,6826/w,6100/w
521k,728/w,6839/w,6111/w
522k,729/w,6852/w,6123/w
523k,730/w,6865/w,6135/w
524k,731/w,6878/w,6146/w
525k,732/w,6891/w,6158/w
526k,733/w,6904/w,6170/w
527k,734/w,6917/w,6182/w
528k,736/w,6929/w,6193/w
529k,737/w,6942/w,6205/w
530k,738/w,6955/w,6217/w
531k,739/w,6968/w,6229/w
532k,740/w,6981/w,6240/w
533k,741/w,6994/w,6252/w
534k,743/w,7007/w,6264/w
535k,744/w,7020/w,6275/w
536k,745/w,7033/w,6287/w
537k,746/w,7045/w,6299/w
538k,747/w,7058/w,6311/w
539k,748/w,7071/w,6322/w
540k,749/w,7084/w,6334/w
541k,751/w,7097/w,6346/w
542k,752/w,7110/w,6358/w
543k,753/w,7123/w,6369/w
544k,754/w,7136/w,6381/w
545k,755/w,7149/w,6393/w
546k,756/w,7161/w,6405/w
547k,758/w,7174/w,6416/w
548k,759/w,7187/w,6428/w
549k,760/w,7200/w,6440/w
550k,761/w,7213/w,6451/w
551k,762/w,7226/w,6463/w
552k,763/w,7239/w,6475/w
553k,764/w,7252/w,6487/w
554k,766/w,7264/w,6498/w
555k,767/w,7277/w,6510/w
556k,768/w,7290/w,6522/w
557k,769/w,7303/w,6534/w
558k,770/w,7316/w,6545/w
559k,771/w,7329/w,6557/w
560k,773/w,7342/w,6569/w
561k,774/w,7355/w,6580/w
562k,775/w,7368/w,6592/w
563k,776/w,7380/w,6604/w
564k,777/w,7393/w,6616/w
565k,778/w,7406/w,6627/w
566k,779/w,7419/w,6639/w
567k,781/w,7432/w,6651/w
568k,782/w,7445/w,6663/w
569k,783/w,7458/w,6674/w
570k,784/w,7471/w,6686/w
571k,785/w,7484/w,6698/w
572k,786/w,7496/w,6710/w
573k,788/w,7509/w,6721/w
574k,789/w,7522/w,6733/w
575k,790/w,7535/w,6745/w
576k,791/w,7548/w,6756/w
577k,792/w,7561/w,6768/w
578k,793/w,7574/w,6780/w
579k,794/w,7587/w,6792/w
580k,796/w,7599/w,6803/w
581k,797/w,7612/w,6815/w
582k,798/w,7625/w,6827/w
583k,799/w,7638/w,6839/w
584k,800/w,7651/w,6850/w
585k,801/w,7664/w,6862/w
586k,803/w,7677/w,6874/w
587k,804/w,7690/w,6885/w
588k,805/w,7703/w,6897/w
589k,806/w,7715/w,6909/w
590k,807/w,7728/w,6921/w
591k,808/w,7741/w,6932/w
592k,809/w,7754/w,6944/w
593k,811/w,7767/w,6956/w
594k,812/w,7780/w,6968/w
595k,813/w,7793/w,6979/w
596k,814/w,7806/w,6991/w
597k,815/w,7819/w,7003/w
598k,816/w,7831/w,7015/w
599k,818/w,7844/w,7026/w
600k,819/w,7857/w,7038/w
601k,820/w,7870/w,7050/w
602k,821/w,7883/w,7061/w
603k,822/w,7896/w,7073/w
604k,823/w,7909/w,7085/w
605k,824/w,7922/w,7097/w
606k,826/w,7934/w,7108/w
607k,827/w,7947/w,7120/w
608k,828/w,7960/w,7132/w
609k,829/w,7973/w,7144/w
610k,830/w,7986/w,7155/w
611k,831/w,7999/w,7167/w
612k,833/w,8012/w,7179/w
613k,834/w,8025/w,7190/w
614k,835/w,8038/w,7202/w
615k,836/w,8050/w,7214/w
616k,837/w,8063/w,7226/w
617k,838/w,8076/w,7237/w
618k,839/w,8089/w,7249/w
619k,841/w,8102/w,7261/w
620k,842/w,8115/w,7273/w
621k,843/w,8128/w,7284/w
622k,844/w,8141/w,7296/w
623k,845/w,8154/w,7308/w
624k,846/w,8166/w,7320/w
625k,848/w,8179/w,7331/w
626k,849/w,8192/w,7343/w
627k,850/w,8205/w,7355/w
628k,851/w,8218/w,7366/w
629k,852/w,8231/w,7378/w
630k,853/w,8244/w,7390/w
631k,854/w,8257/w,7402/w
632k,856/w,8269/w,7413/w
633k,857/w,8282/w,7425/w
634k,858/w,8295/w,7437/w
635k,859/w,8308/w,7449/w
636k,860/w,8321/w,7460/w
637k,861/w,8334/w,7472/w
638k,863/w,8347/w,7484/w
639k,864/w,8360/w,7495/w
640k,865/w,8373/w,7507/w
641k,866/w,8385/w,7519/w
642k,867/w,8398/w,7531/w
643k,868/w,8411/w,7542/w
644k,869/w,8424/w,7554/w
645k,871/w,8437/w,7566/w
646k,872/w,8450/w,7578/w
647k,873/w,8463/w,7589/w
648k,874/w,8476/w,7601/w
649k,875/w,8489/w,7613/w
650k,876/w,8501/w,7625/w
651k,878/w,8514/w,7636/w
652k,879/w,8527/w,7648/w
653k,880/w,8540/w,7660/w
654k,881/w,8553/w,7671/w
655k,882/w,8566/w,7683/w
656k,883/w,8579/w,7695/w
657k,884/w,8592/w,7707/w
658k,886/w,8604/w,7718/w
659k,887/w,8617/w,7730/w
660k,888/w,8630/w,7742/w
661k,889/w,8643/w,7754/w
662k,890/w,8656/w,7765/w
663k,891/w,8669/w,7777/w
664k,893/w,8682/w,7789/w
665k,894/w,8695/w,7800/w
666k,895/w,8708/w,7812/w
667k,896/w,8720/w,7824/w
668k,897/w,8733/w,7836/w
669k,898/w,8746/w,7847/w
670k,899/w,8759/w,7859/w
671k,901/w,8772/w,7871/w
672k,902/w,8785/w,7883/w
673k,903/w,8798/w,7894/w
674k,904/w,8811/w,7906/w
675k,905/w,8824/w,7918/w
676k,906/w,8836/w,7930/w
677k,908/w,8849/w,7941/w
678k,909/w,8862/w,7953/w
679k,910/w,8875/w,7965/w
680k,911/w,8888/w,7976/w
681k,912/w,8901/w,7988/w
682k,913/w,8914/w,8000/w
683k,914/w,8927/w,8012/w
684k,916/w,8939/w,8023/w
685k,917/w,8952/w,8035/w
686k,918/w,8965/w,8047/w
687k,919/w,8978/w,8059/w
688k,920/w,8991/w,8070/w
689k,921/w,9004/w,8082/w
690k,923/w,9017/w,8094/w
691k,924/w,9030/w,8105/w
692k,925/w,9043/w,8117/w
693k,926/w,9055/w,8129/w
694k,927/w,9068/w,8141/w
695k,928/w,9081/w,8152/w
696k,929/w,9094/w,8164/w
697k,931/w,9107/w,8176/w
698k,932/w,9120/w,8188/w
699k,933/w,9133/w,8199/w
700k,934/w,9146/w,8211/w
701k,935/w,9159/w,8223/w
702k,936/w,9171/w,8235/w
703k,938/w,9184/w,8246/w
704k,939/w,9197/w,8258/w
705k,940/w,9210/w,8270/w
706k,941/w,9223/w,8281/w
707k,942/w,9236/w,8293/w
708k,943/w,9249/w,8305/w
709k,944/w,9262/w,8317/w
710k,946/w,9274/w,8328/w
711k,947/w,9287/w,8340/w
712k,948/w,9300/w,8352/w
713k,949/w,9313/w,8364/w
714k,950/w,9326/w,8375/w
715k,951/w,9339/w,8387/w
716k,953/w,9352/w,8399/w
717k,954/w,9365/w,8410/w
718k,955/w,9378/w,8422/w
719k,956/w,9390/w,8434/w
720k,957/w,9403/w,8446/w
721k,958/w,9416/w,8457/w
722k,959/w,9429/w,8469/w
723k,961/w,9442/w,8481/w
724k,962/w,9455/w,8493/w
725k,963/w,9468/w,8504/w
726k,964/w,9481/w,8516/w
727k,965/w,9494/w,8528/w
728k,966/w,9506/w,8540/w
729k,968/w,9519/w,8551/w
730k,969/w,9532/w,8563/w
731k,970/w,9545/w,8575/w
732k,971/w,9558/w,8586/w
733k,972/w,9571/w,8598/w
734k,973/w,9584/w,8610/w
735k,974/w,9597/w,8622/w
736k,976/w,9609/w,8633/w
737k,977/w,9622/w,8645/w
738k,978/w,9635/w,8657/w
739k,979/w,9648/w,8669/w
740k,980/w,9661/w,8680/w
741k,981/w,9674/w,8692/w
742k,983/w,9687/w,8704/w
743k,984/w,9700/w,8715/w
744k,985/w,9713/w,8727/w
745k,986/w,9725/w,8739/w
746k,987/w,9738/w,8751/w
747k,988/w,9751/w,8762/w
748k,989/w,9764/w,8774/w
749k,991/w,9777/w,8786/w
750k,992/w,9790/w,8798/w
751k,993/w,9803/w,8809/w
752k,994/w,9816/w,8821/w
753k,995/w,9829/w,8833/w
754k,996/w,9841/w,8845/w
755k,998/w,9854/w,8856/w
756k,999/w,9867/w,8868/w
757k,1000/w,9880/w,8880/w
758k,1001/w,9893/w,8891/w
759k,1002/w,9906/w,8903/w
760k,1003/w,9919/w,8915/w
761k,1004/w,9932/w,8927/w
762k,1006/w,9944/w,8938/w
763k,1007/w,9957/w,8950/w
764k,1008/w,9970/w,8962/w
765k,1009/w,9983/w,8974/w
766k,1010/w,9996/w,8985/w
767k,1011/w,10009/w,8997/w
768k,1013/w,10022/w,9009/w
769k,1014/w,10035/w,9020/w
770k,1015/w,10048/w,9032/w
771k,1016/w,10060/w,9044/w
772k,1017/w,10073/w,9056/w
773k,1018/w,10086/w,9067/w
774k,1020/w,10099/w,9079/w
775k,1021/w,10112/w,9091/w
776k,1022/w,10125/w,9103/w
777k,1023/w,10138/w,9114/w
778k,1024/w,10151/w,9126/w
779k,1025/w,10164/w,9138/w
780k,1026/w,10176/w,9150/w
781k,1028/w,10189/w,9161/w
782k,1029/w,10202/w,9173/w
783k,1030/w,10215/w,9185/w
784k,1031/w,10228/w,9196/w
785k,1032/w,10241/w,9208/w
786k,1033/w,10254/w,9220/w
787k,1035/w,10267/w,9232/w
788k,1036/w,10280/w,9243/w
789k,1037/w,10292/w,9255/w
790k,1038/w,10305/w,9267/w
791k,1039/w,10318/w,9279/w
792k,1040/w,10331/w,9290/w
793k,1041/w,10344/w,9302/w
794k,1043/w,10357/w,9314/w
795k,1044/w,10370/w,9325/w
796k,1045/w,10383/w,9337/w
797k,1046/w,10395/w,9349/w
798k,1047/w,10408/w,9361/w
799k,1048/w,10421/w,9372/w
800k,1050/w,10434/w,9384/w
801k,1051/w,10447/w,9396/w
802k,1052/w,10460/w,9408/w
803k,1053/w,10473/w,9419/w
804k,1054/w,10486/w,9431/w
805k,1055/w,10499/w,9443/w
806k,1056/w,10511/w,9455/w
807k,1058/w,10524/w,9466/w
808k,1059/w,10537/w,9478/w
809k,1060/w,10550/w,9490/w
810k,1061/w,10563/w,9501/w
811k,1062/w,10576/w,9513/w
812k,1063/w,10589/w,9525/w
813k,1065/w,10602/w,9537/w
814k,1066/w,10615/w,9548/w
815k,1067/w,10627/w,9560/w
816k,1068/w,10640/w,9572/w
817k,1069/w,10653/w,9584/w
